582.5061 	EXP 	New trial (rep=0, index=15): OrderedDict([(u'MatchingSection', u'el fregadero?'), (u'ColumnA', u'abrigo'), (u'ColumnF', u'renunciar'), (u'ColumnJ', u'fregadero'), (u'ColumnSemicolon', u'marat\xf3n'), (u'Translation', u'kitchen sink'), (u'CorrectAnswer', u'j'), (u'Training', None), (u'TrainingFull', u'el fregadero'), (u'imagename', u'fregadero'), (u'Counterbalance', 1)])
582.5264 	WARNING 	Requested image u'fregadero' not found but similar filename u'fregadero.jpg' exists. This will be used instead but changing the filename is advised.
582.5878 	EXP 	vocabPicAssoc: autoDraw = False
582.5878 	EXP 	TranslationTraining: autoDraw = False
582.5878 	EXP 	image: autoDraw = False
582.5878 	EXP 	pressSpace: autoDraw = False
582.5878 	EXP 	vocabPicAssoc: text = u'el fregadero'
582.5878 	EXP 	TranslationTraining: text = u'kitchen sink'
582.5878 	EXP 	image: image = u'fregadero'
582.5878 	EXP 	vocabPicAssoc: autoDraw = True
582.5878 	EXP 	TranslationTraining: autoDraw = True
582.5878 	EXP 	image: autoDraw = True
582.6577 	DATA 	Keypress: space
582.6596 	EXP 	New trial (rep=0, index=16): OrderedDict([(u'MatchingSection', u'el abrigo?'), (u'ColumnA', u'carpeta'), (u'ColumnF', u'abrigo'), (u'ColumnJ', u'biblia'), (u'ColumnSemicolon', u'porche'), (u'Translation', u'coat'), (u'CorrectAnswer', u'f'), (u'Training', None), (u'TrainingFull', u'el abrigo'), (u'imagename', u'abrigo'), (u'Counterbalance', 1)])
582.6758 	WARNING 	Requested image u'abrigo' not found but similar filename u'abrigo.jpg' exists. This will be used instead but changing the filename is advised.
582.7044 	EXP 	vocabPicAssoc: autoDraw = False
582.7044 	EXP 	TranslationTraining: autoDraw = False
582.7044 	EXP 	image: autoDraw = False
582.7044 	EXP 	pressSpace: autoDraw = False
582.7044 	EXP 	vocabPicAssoc: text = u'el abrigo'
582.7044 	EXP 	TranslationTraining: text = u'coat'
582.7044 	EXP 	image: image = u'abrigo'
582.7044 	EXP 	vocabPicAssoc: autoDraw = True
582.7044 	EXP 	TranslationTraining: autoDraw = True
582.7044 	EXP 	image: autoDraw = True
582.8084 	DATA 	Keypress: space
582.8232 	EXP 	New trial (rep=0, index=17): OrderedDict([(u'MatchingSection', u'el marat\xf3n?'), (u'ColumnA', u'marat\xf3n'), (u'ColumnF', u'porche'), (u'ColumnJ', u'carpeta'), (u'ColumnSemicolon', u'librero'), (u'Translation', u'marathon'), (u'CorrectAnswer', u'a'), (u'Training', None), (u'TrainingFull', u'el marat\xf3n'), (u'imagename', u'marat\xf3n'), (u'Counterbalance', 1)])
